timestamp,q0,qx,qy,qz
1770837272332686336,0.995552,-0.003362,-0.023834,0.091087,1
1770837272432647424,0.995556,-0.003326,-0.023822,0.091051,1
1770837272532694784,0.995559,-0.003291,-0.023808,0.091022,1
1770837272632681984,0.995563,-0.003241,-0.023799,0.090983,1
1770837272732651520,0.995566,-0.003203,-0.023779,0.090952,1
1770837272832702464,0.995569,-0.003189,-0.023781,0.090923,1
1770837272932682496,0.995573,-0.003181,-0.023780,0.090880,1
1770837273032656896,0.995577,-0.003154,-0.023775,0.090834,1
1770837273132707584,0.995582,-0.003153,-0.023766,0.090788,1
1770837273232690432,0.995584,-0.003137,-0.023760,0.090760,1
1770837273332669440,0.995588,-0.003121,-0.023751,0.090726,1
1770837273432717824,0.995591,-0.003114,-0.023751,0.090692,1
1770837273532714240,0.995594,-0.003098,-0.023756,0.090658,1
1770837273632686336,0.995597,-0.003089,-0.023752,0.090624,1
1770837273732742656,0.995601,-0.003081,-0.023748,0.090588,1
1770837273832718848,0.995603,-0.003069,-0.023738,0.090567,1
1770837273932686592,0.995606,-0.003067,-0.023729,0.090530,1
1770837274032733440,0.995609,-0.003051,-0.023715,0.090504,1
