Time,inertial-6286.188861:deltaThetaX,inertial-6286.188861:deltaThetaY,inertial-6286.188861:deltaThetaZ,inertial-6286.188861:deltaVelX,inertial-6286.188861:deltaVelY,inertial-6286.188861:deltaVelZ
1773411670674228736,-6.405642579920823e-06,-2.383798573646345e-06,8.008261829672847e-06,2.677637894521467e-06,-2.666691398189869e-05,-0.009947698563337326
1773411670684394496,4.85956570628332e-06,3.487700794835291e-08,6.603419024031609e-06,3.64835273103381e-08,-1.859833537309896e-05,-0.009962446987628937
1773411670694462720,5.355856501410017e-06,-4.739168616652023e-06,1.092944876290858e-05,2.411387185929925e-06,-2.153269997506868e-05,-0.0099607203155756
1773411670704446208,2.898751063185045e-06,-4.63660489913309e-06,-1.180861545435619e-06,-3.812707745964872e-06,-2.380213300057221e-05,-0.009967307560145855
1773411670714333952,4.286803687136853e-06,1.43304157518287e-06,3.410945055293269e-06,-8.310021826218872e-08,-2.426046012260485e-05,-0.009965924546122551
1773411670724125696,-2.020590954998625e-06,9.754760412761243e-07,5.7808856581687e-06,2.949712779809488e-06,-2.520336965972092e-05,-0.009953389875590801
1773411670733821696,-9.531131013318372e-07,-5.606093509413768e-06,3.452605142229004e-06,-4.733907417175942e-07,-2.315055280632805e-05,-0.009951776824891567
1773411670743830528,-5.346356601876323e-07,-1.18242826374626e-06,5.628162853099639e-06,5.328467523213476e-06,-1.93472678802209e-05,-0.009956085123121738
1773411670754149376,-1.926442564581521e-06,-1.619925114937359e-06,9.115026387007674e-07,6.855942501715617e-06,-2.47917359956773e-05,-0.009966435842216015
1773411670764368896,-4.213889951643068e-06,-5.679068635799922e-06,1.974227188838995e-06,3.781595751206623e-06,-2.083335493807681e-05,-0.009969905018806458
1773411670774488064,-8.549624794795818e-07,9.471815246797632e-06,2.394137027295073e-06,2.791789256662014e-06,-2.280600529047661e-05,-0.00995326042175293
1773411670784510464,2.194854687331826e-06,-2.800046331685735e-06,9.879745448415633e-07,-2.592824785097037e-06,-2.5500843548798e-05,-0.009968848899006844
1773411670794444032,4.72668625661754e-06,-3.48791218129918e-06,4.856634859606856e-06,-3.883711997332284e-06,-1.997042090806644e-05,-0.009956172667443752
1773411670804271872,9.65200160862878e-06,-4.246282969688764e-06,2.005596797971521e-06,-1.122638195738546e-06,-2.107043292198796e-05,-0.009961018338799477
1773411670814003200,-1.886560994535103e-06,7.968893100951391e-07,-1.963955128303496e-06,4.387738954392262e-06,-2.100146230077371e-05,-0.009955859743058681
1773411670823639040,2.787349785648985e-06,-3.475622065707284e-07,2.559277845648467e-06,3.473494189165649e-06,-1.950993100763299e-05,-0.009959136135876179
1773411670833944064,-1.84464579433552e-06,-9.919114745571278e-06,5.968177447357448e-06,1.876793930932763e-06,-2.368862806179095e-05,-0.009967047721147537
1773411670844238848,9.246938930118631e-07,-3.543557340890402e-06,6.506579211418284e-06,1.441503059140814e-06,-2.382860111538321e-05,-0.009954537265002728
1773411670854435072,-5.976867782919726e-07,-4.519076355791185e-06,5.022910045227036e-06,-1.737275511004555e-06,-2.140821197826881e-05,-0.009966351091861725
