ts,utm_x,utm_y,z,utm_zone_n,utm_zone_l,heading,inx_x,inx_y,inx_z,inx_yaw
A814495C00000000,269EA601,9FDDC633,592D0000,12000000,4C000000,E6A10000,06120000,F5F6FFFF,DF1D0000,BF190000
0C15495C00000000,2A9EA601,A1DDC633,592D0000,12000000,4C000000,E3A10000,04120000,F0F6FFFF,F41D0000,BC190000
6F15495C00000000,2D9EA601,A4DDC633,592D0000,12000000,4C000000,E1A10000,03120000,ECF6FFFF,081E0000,BA190000
D415495C00000000,319EA601,A7DDC633,592D0000,12000000,4C000000,DDA10000,01120000,E7F6FFFF,1C1E0000,B6190000
3816495C00000000,369EA601,AADDC633,592D0000,12000000,4C000000,D7A10000,00120000,E2F6FFFF,301E0000,B0190000
9E16495C00000000,3A9EA601,ADDDC633,592D0000,12000000,4C000000,D2A10000,FE110000,DDF6FFFF,441E0000,AB190000
0017495C00000000,3F9EA601,B1DDC633,592D0000,12000000,4C000000,CCA10000,FC110000,D7F6FFFF,591E0000,A5190000
6417495C00000000,449EA601,B5DDC633,592D0000,12000000,4C000000,C6A10000,F9110000,D2F6FFFF,6D1E0000,9F190000
C917495C00000000,499EA601,B8DDC633,592D0000,12000000,4C000000,BFA10000,F6110000,CCF6FFFF,801E0000,98190000
2D18495C00000000,4F9EA601,BDDDC633,592D0000,12000000,4C000000,B8A10000,F2110000,C6F6FFFF,941E0000,91190000
9318495C00000000,569EA601,C1DDC633,592D0000,12000000,4C000000,B1A10000,ED110000,BFF6FFFF,A81E0000,8A190000
F618495C00000000,5D9EA601,C6DDC633,592D0000,12000000,4C000000,A8A10000,E8110000,B8F6FFFF,BC1E0000,81190000
5819495C00000000,649EA601,CCDDC633,592D0000,12000000,4C000000,A2A10000,E2110000,B2F6FFFF,D01E0000,7B190000
BF19495C00000000,6C9EA601,D2DDC633,592D0000,12000000,4C000000,9BA10000,DB110000,ABF6FFFF,E31E0000,74190000
221A495C00000000,759EA601,D8DDC633,592D0000,12000000,4C000000,94A10000,D3110000,A3F6FFFF,F71E0000,6D190000
851A495C00000000,7E9EA601,DFDDC633,592D0000,12000000,4C000000,8BA10000,CB110000,9CF6FFFF,0A1F0000,64190000
EB1A495C00000000,889EA601,E6DDC633,592D0000,12000000,4C000000,80A10000,C1110000,94F6FFFF,1E1F0000,59190000
4E1B495C00000000,929EA601,EEDDC633,592D0000,12000000,4C000000,79A10000,B7110000,8CF6FFFF,311F0000,52190000
B41B495C00000000,9D9EA601,F6DDC633,592D0000,12000000,4C000000,70A10000,AC110000,84F6FFFF,451F0000,49190000
